# Data from http://www.cis.rit.edu/jwgu/research/camspec/camspec_database.txt
Red,400.0,10.0,0.0019,0.0045,0.0103,0.0055,0.0034,0.0021,0.0023,0.0039,0.0073,0.0118,0.0179,0.0612,0.0874,0.1534,0.1686,0.1724,0.2003,0.3158,0.4514,0.5258,0.5989,0.4728,0.4084,0.3562,0.292,0.226,0.1704,0.1372,0.0428,0.0087,0.0017,0.0007,0.0005
Green,400.0,10.0,0.0036,0.0123,0.0377,0.0422,0.0565,0.0704,0.097,0.209,0.43,0.6381,0.692,1.0,0.8735,0.9058,0.8326,0.8057,0.712,0.6467,0.5426,0.3935,0.2958,0.1287,0.06,0.0402,0.0276,0.0182,0.0138,0.0143,0.0061,0.0017,0.0008,0.0006,0.0005
Blue,400.0,10.0,0.0127,0.0971,0.3516,0.4765,0.56,0.6476,0.7745,0.6759,0.6858,0.5932,0.3971,0.3559,0.1617,0.0883,0.0551,0.0424,0.0269,0.0205,0.0159,0.0122,0.01,0.0054,0.0036,0.0032,0.0029,0.0032,0.0032,0.0034,0.0013,0.0005,0.0004,0.0004,0.0004
