505,12.20,7.15,4.62,2.98,11.61,6.20,13.25,12.44,9.88,3.34,2.33,1.49,13.25,34.90,56.29,27.77,53.88,63.24,6.72,11.08,13.15,6.83,17.41,43.16,56.95,73.82,527.00
510,11.83,7.05,4.62,3.01,11.33,6.19,13.08,12.55,10.04,2.35,1.47,0.92,13.53,34.70,54.81,32.68,53.62,62.46,4.59,7.66,8.80,5.58,12.56,41.63,52.70,69.12,507.00
515,11.50,7.04,4.73,3.14,11.10,6.30,12.93,12.68,10.26,1.88,1.10,0.71,14.24,35.02,53.42,38.29,53.25,61.41,3.67,6.07,6.70,4.88,10.10,39.75,48.54,63.69,482.00
520,11.22,7.16,4.99,3.41,10.96,6.60,12.78,12.77,10.48,1.59,0.89,0.60,15.74,36.13,52.70,43.76,53.09,60.47,3.02,5.07,5.38,4.31,8.48,37.83,44.80,58.44,461.00
525,11.05,7.47,5.48,3.90,10.97,7.12,12.60,12.72,10.63,1.47,0.83,0.63,18.26,37.92,52.50,47.72,52.88,59.48,3.21,4.88,4.93,3.76,7.74,36.16,41.75,53.57,438.00
530,11.03,8.04,6.25,4.69,11.16,7.94,12.44,12.60,10.78,1.80,1.18,1.10,22.28,40.62,53.30,50.27,52.99,58.65,4.90,6.26,6.06,3.61,8.58,35.25,39.77,49.66,418.00
535,11.18,8.88,7.34,5.81,11.54,9.07,12.33,12.43,10.96,5.71,4.90,4.56,27.97,44.70,54.89,51.78,53.15,57.93,19.05,20.29,19.76,5.62,21.39,37.04,40.50,48.44,404.00
540,11.53,10.01,8.78,7.32,12.12,10.49,12.26,12.22,11.18,40.98,39.59,34.40,35.70,49.63,57.61,52.68,53.67,57.49,177.64,204.67,215.94,38.59,220.12,59.86,59.27,72.56,429.00
545,27.74,24.88,23.82,22.59,27.78,25.22,29.52,28.96,27.71,73.69,72.84,65.40,148.98,154.16,182.75,167.36,167.93,175.17,347.34,390.25,412.13,100.00,417.35,183.53,184.09,200.42,1016.00
550,17.05,16.64,16.14,15.11,17.73,17.46,17.05,16.51,16.29,33.61,32.61,29.48,56.55,62.21,65.27,55.29,55.61,57.27,116.80,135.69,142.39,36.54,146.13,59.03,59.06,65.00,581.00
555,13.55,14.59,14.59,13.88,14.47,15.63,12.44,11.79,12.28,8.24,7.52,7.16,68.68,68.92,69.41,56.94,56.82,57.49,31.87,34.57,34.74,10.57,36.67,47.93,49.95,47.49,370.00
560,14.33,16.16,16.63,16.33,15.20,17.22,12.58,11.76,12.74,3.38,2.83,3.08,79.99,75.83,73.28,59.30,58.39,57.99,16.37,15.71,14.76,2.98,16.51,48.67,50.90,44.14,368.00
565,15.01,17.56,18.49,18.68,15.77,18.53,12.72,11.77,13.21,2.47,1.96,2.47,91.47,81.95,76.56,62.15,60.22,58.76,14.92,12.60,10.99,2.05,12.56,52.69,54.51,44.71,371.00
570,15.52,18.62,19.95,20.64,16.10,19.43,12.83,11.84,13.65,2.14,1.67,2.27,101.32,86.95,78.67,65.26,62.21,59.64,14.12,11.05,9.25,1.84,10.81,57.24,58.33,46.01,377.00
575,18.29,21.47,23.11,24.28,18.54,21.97,15.46,14.61,16.57,4.86,4.43,5.09,123.16,103.54,95.74,84.26,81.45,78.77,29.50,25.05,23.50,6.09,25.31,77.75,77.49,63.52,490.00
580,19.55,22.79,24.69,26.26,19.50,23.01,16.75,16.11,18.14,11.45,11.28,11.96,129.53,109.94,97.22,89.22,84.96,81.26,61.40,54.98,53.05,17.27,53.31,87.81,85.78,71.73,525.00
585,15.48,19.29,21.41,23.28,15.39,19.41,12.83,12.34,14.55,14.79,14.76,15.32,115.05,91.95,76.79,75.79,68.71,63.18,85.05,82.84,81.90,21.77,80.75,80.55,76.20,63.52,402.00
590,14.91,18.66,20.85,22.94,14.64,18.56,12.67,12.53,14.65,12.16,12.73,14.27,113.48,89.85,73.36,79.19,70.70,64.29,64.86,58.22,54.92,18.72,53.56,84.83,78.73,64.13,404.00
595,14.15,17.73,19.93,22.14,13.72,17.42,12.45,12.72,14.66,8.97,9.74,11.86,110.08,87.15,69.33,82.80,73.01,65.78,65.01,53.06,47.80,10.15,44.02,86.84,78.95,63.74,412.00
600,13.22,16.54,18.67,20.91,12.69,16.09,12.19,12.92,14.61,6.52,7.33,9.28,104.28,83.26,64.23,85.76,74.69,66.77,53.17,41.44,36.65,7.26,33.05,91.44,81.48,66.82,418.00
605,12.19,15.21,17.22,19.43,11.57,14.64,11.89,13.12,14.50,8.31,9.72,12.31,97.98,78.93,58.92,88.62,76.26,67.77,34.22,25.26,21.82,5.17,20.26,96.51,84.57,70.65,425.00
610,11.12,13.80,15.65,17.74,10.45,13.15,11.60,13.34,14.39,44.12,55.27,68.53,89.60,73.93,53.38,91.12,77.68,68.60,427.27,329.89,285.69,56.66,233.61,105.25,87.75,79.29,428.00
615,10.03,12.36,14.04,16.00,9.35,11.68,11.35,13.61,14.40,34.55,42.58,53.02,80.74,68.84,47.91,93.43,78.67,69.10,201.10,161.29,139.94,49.39,118.20,106.74,89.56,80.77,432.00
620,8.95,10.95,12.45,14.42,8.29,10.25,11.12,13.87,14.47,12.09,13.18,14.67,71.92,63.44,42.61,96.89,80.14,70.15,58.63,54.19,53.37,18.57,51.66,108.53,91.36,83.59,433.00
625,7.96,9.65,10.95,12.56,7.32,8.95,10.95,14.07,14.62,12.15,13.16,14.38,63.50,58.84,37.74,101.45,81.71,71.69,72.01,66.30,64.30,14.21,61.27,106.92,89.00,82.59,431.00
630,7.02,8.40,9.51,10.93,6.41,7.74,10.76,14.20,14.72,10.52,12.26,14.71,55.46,53.84,33.11,103.65,82.08,71.97,88.19,71.43,64.04,14.01,55.15,101.54,83.67,77.60,427.00
635,6.20,7.32,8.27,9.52,5.63,6.69,10.42,14.16,14.55,4.43,5.11,6.46,47.97,49.43,29.04,100.30,79.98,69.81,20.07,15.74,13.79,5.99,12.95,95.20,78.26,72.47,420.00
640,5.42,6.31,7.11,8.18,4.90,5.71,10.11,14.13,14.40,1.95,2.07,2.57,41.39,45.54,25.29,97.89,78.15,68.05,13.10,10.22,9.06,2.68,8.93,89.34,73.19,68.34,410.00
645,4.73,5.43,6.09,7.01,4.26,4.87,10.04,14.34,14.58,2.19,2.34,2.75,35.50,41.53,22.10,96.59,76.52,66.66,12.92,10.68,9.83,3.14,9.77,82.95,67.61,63.82,399.00
650,4.15,4.68,5.22,6.00,3.72,4.16,10.02,14.50,14.88,3.19,3.58,4.18,30.32,38.31,19.31,106.21,79.20,69.70,24.54,20.32,18.60,6.25,17.12,75.78,61.42,58.57,385.00
655,3.64,4.02,4.45,5.11,3.25,3.55,10.11,14.46,15.51,2.77,3.01,3.44,25.79,34.62,16.84,109.97,79.51,70.37,15.94,14.13,13.38,5.78,13.01,68.65,55.49,53.18,370.00
660,3.20,3.45,3.80,4.36,2.83,3.02,9.87,14.00,15.47,2.29,2.48,2.81,21.84,31.80,14.68,117.49,81.08,72.47,13.56,11.72,10.99,6.75,10.45,61.70,49.78,47.97,352.00
665,2.81,2.96,3.23,3.69,2.49,2.57,8.65,12.58,13.20,2.00,2.14,2.42,18.53,29.02,12.89,96.04,70.76,62.30,13.38,11.75,10.77,5.16,10.33,55.23,44.46,43.14,336.00
670,2.47,2.55,2.75,3.13,2.19,2.20,7.27,10.99,10.57,1.52,1.54,1.64,15.67,26.72,11.37,80.15,62.58,54.45,8.42,7.87,7.57,3.03,7.70,48.58,39.13,38.19,317.00
675,2.18,2.19,2.33,2.64,1.93,1.87,6.44,9.98,9.18,1.35,1.33,1.36,13.22,24.22,9.97,70.42,56.87,49.20,6.57,6.38,6.19,1.57,6.34,42.90,34.45,33.85,298.00
